"client_id","week","task","detailed_fix","expected_outcome","done","notes"
"f47b7c9a-efcf-4ab9-b9b3-cff492bd8c19","Week 1","Fix Broken Links & 404 Errors","Repair broken internal links: Fixed nine broken internal hyperlinks to ensure users and search engine crawlers can navigate the site effectively.Restore missing images: Replaced or updated seven broken internal image references to improve user experience and visual integrity.
Resolve page errors: Implemented permanent 301 redirects for four pages that were returning 4xx errors, guiding users and search engines to relevant, live pages or restoring the original content.
Verify crawler access: Checked the robots.txt file and theme settings to confirm that no critical pages are accidentally being blocked from search engine crawlers.","A clean link profile improves user experience and crawl efficiency. Eliminating 404s and broken images prevents users from hitting error pages and signals a well-maintained site to search engines. This avoids lost link equity and potential ranking drops – multiple broken links can negatively affect rankings by making the site appear poorly maintained. Overall, a smoother browsing experience keeps visitors on the site, supporting better SEO and conversion.","false",""
"f47b7c9a-efcf-4ab9-b9b3-cff492bd8c19","Week 2","Optimize Title Tags & Meta Descriptions","On-Page SEO Tag Audit & Update
Title Tags:
Shortened excessively long title tags on 19 pages to be under the 70-character limit, preventing them from being truncated in search engine results pages (SERPs).
Rewrote the shortened titles to be more compelling by including the primary keyword and a call-to-action or branding element.
Meta Descriptions:
Authored unique, keyword-rich meta descriptions for 37 pages that previously had duplicate or missing descriptions.
Each new description now serves as a concise summary that highlights the specific page's content and its value to the user.
H1 Tags:
Ensured every key page has a single, descriptive H1 tag.
Corrected instances of missing or duplicate H1 tags to align with the page's title tag, improving page structure and keyword focus.","Clear and unique metadata will improve click-through rates and prevent keyword cannibalization/confusion. Concise titles (<60–70 characters) won’t truncate, thus appearing professional and enticing to users. Unique meta descriptions for every page give an opportunity to target relevant keywords and better differentiate pages. Proper H1 usage reinforces topic relevance. Together these on-page tweaks help search engines understand and rank each page appropriately, likely leading to modest ranking improvements and higher organic CTR.","false",""
"f47b7c9a-efcf-4ab9-b9b3-cff492bd8c19","Week 3","Improve Image Alt Text & Compression","Image Optimization & Accessibility
Added Descriptive ALT Text: An audit identified 7 important images with missing ALT text. These have been updated with descriptive attributes, including product names or relevant skin concerns, to improve image SEO and provide context for visually impaired users.
Image Compression & Format Optimization: Large image files have been compressed to reduce their size without a noticeable loss in quality. The use of next-gen image formats like WebP is being implemented to ensure faster loading times.
Enabled Lazy Loading: Lazy loading has been enabled for all offscreen images. This means images will only load as a user scrolls down the page, significantly reducing initial page load times and improving the user experience, especially on image-heavy pages. A Shopify image optimizer app may also be used to further streamline this process.","Optimizing images boosts both SEO and UX. Descriptive alt text allows images to rank in image search and improves accessibility, which is good practice and can drive additional traffic. Image compression and lazy loading will significantly speed up page rendering, improving Core Web Vitals (like LCP). Faster pages and proper alt tags together enhance user satisfaction – users see content quicker and find what they need – which can lead to better engagement and conversion rates, as well as a potential uptick in search rankings for speed-sensitive algorithms.","false",""
"f47b7c9a-efcf-4ab9-b9b3-cff492bd8c19","Week 4","Enhance Site Speed & Core Web Vitals","Technical Performance & Core Web Vitals
File Compression & Minification:
Enabled Gzip or Brotli compression on the server to reduce the size of 321 previously uncompressed JavaScript and CSS files.
Minified the Shopify theme's CSS and JavaScript assets, further shrinking file sizes and speeding up download times.
Script & App Optimization:
Removed or deferred non-essential third-party scripts and apps that were blocking page rendering, particularly to improve the mobile experience.
Caching & Content Delivery:
Implemented browser caching for static resources like images and stylesheets, allowing returning visitors' browsers to load the site much faster.
Ensured effective use of Shopify’s built-in Content Delivery Network (CDN) to deliver assets quickly to users globally.
Core Web Vitals Improvements:
Largest Contentful Paint (LCP): Optimized hero images by ensuring they are properly compressed and served in next-gen formats.
First Input Delay (FID): Improved interactivity by deferring heavy and non-critical scripts that were delaying the page from becoming responsive.
Cumulative Layout Shift (CLS): Applied CSS fixes to reserve space for elements that load late, preventing unexpected and disruptive layout shifts as the page loads.","Improving page speed and stability will positively impact both user experience and SEO rankings. Faster load times mean users are less likely to bounce, and Google rewards speed as a ranking factor. We expect to see better Core Web Vitals scores (e.g. faster LCP, quicker interactivity), which can lead to higher search visibility. Users will experience snappier page loads, especially on mobile, leading to higher conversion rates (since shoppers won’t drop off due to slow pages). Overall, this foundational work sets the stage for all other optimizations to perform better.","false",""
"f47b7c9a-efcf-4ab9-b9b3-cff492bd8c19","Week 5","Resolve Orphan Pages & Site Structure","Site Architecture & Crawlability Enhancement
Orphan Page Integration:
An audit identified 246 orphan pages (pages present in the XML sitemap but with no internal links pointing to them).
Valuable product and content pages from this list have been integrated into the site structure by adding internal links from relevant hub pages, menus, or main content, making them discoverable by both users and search engines.
Outdated or unnecessary pages have been removed from the sitemap and either deleted or redirected to prevent wasting crawl budget.
Site Depth Reduction:
Addressed the issue of 209 key pages being more than three clicks away from the homepage, which negatively impacts SEO and user experience.
The site navigation and internal linking have been restructured to ""flatten"" the architecture.
This was achieved by adding strategic links to top products, category pages, and high-value blog posts from the main navigation, footer, and relevant category pages, ensuring all important content is accessible within a maximum of three clicks. In some cases, new intermediate landing pages were created to better group deep content.","A more crawl-efficient site architecture will ensure search engines index all important content and users can find information faster. Linking previously orphaned pages internally prevents search bots from overlooking them and avoids wasted crawl budget on pages that were only in sitemaps. Bringing key pages closer to the homepage (click-depth wise) increases their authority and ranking potential – both users and crawlers are more likely to reach them. Over time, this structural cleanup should boost indexation rates and visibility for pages that were buried, and improve the overall SEO performance of the site.","false",""
"f47b7c9a-efcf-4ab9-b9b3-cff492bd8c19","Week 6","Strengthen Internal Linking & Conversion Paths","Enhanced Internal Linking & User Guidance
Create Contextual Links from Content to Products:
Blog posts and guides will be edited to include natural, contextual links that point to relevant product pages. For example, an article about hydration will link directly to a specific serum.
A ""Related Products"" widget or banner will be considered for blog templates to automate and scale this process.
Link from Product Pages to Educational Content:
Product pages will be updated to include links directing users to valuable educational content. This includes adding links like ""Learn how to use this product"" pointing to guides or creating ""Skincare Tips"" sections that link to relevant blog posts.
Strengthen Connections to Weakly Linked Pages:
An audit identified 79 pages with only one internal link. These pages will be strengthened by adding more inbound links from other relevant areas of the site.
This will be achieved by cross-linking between complementary products and ensuring every product is linked from its corresponding collection page, and from the homepage if it is a priority item.
Implement Clear Calls-to-Action (CTAs):
To guide users toward conversion, clear and direct CTAs will be added at the end of all blog posts. Examples include ""Shop [Product Name] Now"" or ""Get a Personalized Regimen"" to encourage the next step in the customer journey.","Better internal linking will improve SEO and user navigation flow. From an SEO perspective, more internal links to a page signal its importance and can improve its ranking; for users, it means discovering relevant products or info with ease. We expect to see increased time-on-site and more pageviews per session as readers of the blog find pathways to shop pages, and shoppers find supporting content. Importantly, funneling informational traffic to product pages (and vice versa) will directly support conversions – for example, readers of a skincare tips article are more likely to click through to a recommended product. Overall, this creates a more cohesive user journey and ensures that high-value pages aren’t hidden with minimal internal links.","false",""
"f47b7c9a-efcf-4ab9-b9b3-cff492bd8c19","Week 7","Optimize Product Page Content & UX","Product Page Content & Trust Element Enhancement
Expand Product Descriptions: Address the low text-to-HTML ratio on numerous pages by transforming minimal blurbs into comprehensive descriptions. This includes detailing features, listing all ingredients, and providing clear usage instructions for each product.
Add FAQ Sections: Implement a frequently asked questions (FAQ) section on product pages to address common customer inquiries (e.g., ""Is it safe for sensitive skin?"", ""How long until I see results?""). This will add valuable, keyword-rich content and proactively help shoppers.
Incorporate User-Generated Content (UGC): Prominently feature customer reviews and ratings on each product page. This adds unique, authentic content that builds social proof and consumer trust.
Highlight Trust Signals & Unique Selling Points (USPs): Strategically place key trust-building elements and USPs within the content or sidebars. This includes highlighting phrases like:
""Developed by Dr. Lancer""
""Clinically Proven Results""
""30-Day Money-Back Guarantee""
Free shipping offers
Resolve Thin Content Issues: By implementing the above content additions, the ""thin content"" issue flagged on approximately 321 pages will be resolved, providing more substantial and valuable information for both search engines and users. All enhancements will be executed within Shopify's platform using the description editor or metafields as needed.","More informative and conversion-focused product pages will serve both search engines and shoppers better. From an SEO standpoint, adding substantial unique text to product pages helps them rank for long-tail queries (e.g. a product page might start ranking for “best moisturizer for oily skin” if that phrase is in an FAQ) and avoids thin content penalties. Google tends to reward pages that comprehensively answer user queries. Users will also feel more confident purchasing: clear info and visible USPs/reviews reduce uncertainty. We anticipate higher rankings for product pages (thanks to increased relevancy and content) and improved conversion rates due to the persuasive content and trust signals. Shoppers can make informed decisions without leaving the page, keeping them in the purchase funnel.","false",""
"f47b7c9a-efcf-4ab9-b9b3-cff492bd8c19","Week 8","Implement Structured Data Markup","Structured Data (Schema.org) Implementation
Implement Product Schema:
Add comprehensive Product schema using JSON-LD to all product pages.
This will include key attributes such as the product's name, image, price, availability, brand, and SKU.
Where available, aggregateRating and review data will be included to make products eligible for rich snippets, such as star ratings and price information directly in Google's search results.
Implement Article and FAQ Schema:
For all blog posts, Article schema will be implemented to enhance their appearance in search results, potentially including images or other featured elements.
For pages or content sections with a question-and-answer format, FAQPage schema will be used to make them eligible for inclusion in Google's ""People also ask"" sections.
Audit and Validation Process:
The existing structured data provided by the Shopify theme will be audited for accuracy and completeness.
This data will be extended or corrected by editing the theme's code to inject the necessary JSON-LD scripts.
All implementations will be validated using Google’s Rich Results Test tool to ensure they are correctly formatted and eligible for enhanced search features.","By providing search engines with structured data, we increase the chances of obtaining rich search results, which can improve click-through rate. For example, product pages could display star ratings and price in the Google results if markup is present, making our listing more attractive. This is a low-effort, white-hat optimization with significant benefits. We expect no direct ranking boost (schema is not a ranking factor per se), but better CTR and visibility. More users clicking through due to rich snippets means more organic traffic. In addition, structured data ensures our content is machine-readable for emerging platforms (voice search, etc.), aligning with modern SEO best practices.","false",""
"f47b7c9a-efcf-4ab9-b9b3-cff492bd8c19","Week 9","Keyword Gap Analysis & Content Calendar","Content Creation & 90-Day Calendar Plan
Keyword-Driven Topic Identification: The Lancer Keywords report will be analyzed to pinpoint high-volume, relevant search terms where our current content is lacking. The focus will be on capturing new users by addressing generic skincare problems and questions.
Focus on Conversion-Oriented Content: The content strategy will prioritize creating informational blog posts that address common skin concerns and ingredient questions which naturally lead to our product offerings.
Example Opportunity: A key identified topic is ""fungal acne treatment"" (approximately 9,900 monthly searches), which presents a clear opportunity to feature our antifungal-safe products.
Target Topics: A list of target topics will be compiled, including areas like hyperpigmentation, acne scars, and developing anti-aging routines.
90-Day Content Calendar: A content calendar will be developed to schedule the creation and publication of these new blog posts over the next 90 days.
Publishing Cadence: The goal is to publish approximately one new blog post per week, resource permitting.
Product Mapping: Each content idea on the calendar will be explicitly mapped to one or more relevant Lancer products. This ensures that every article is written with a clear conversion goal, guiding the writer to include specific product recommendations.","A strategic content plan ensures we consistently produce SEO content that can capture non-branded organic traffic. By targeting high-volume generic queries that our potential customers are searching, we can attract new visitors who aren’t necessarily looking for Lancer by name. Over time, this will shift our traffic mix to include more informational visitors at the top of the funnel. The expected outcome is a broader reach (more impressions and clicks for those topics) and an increase in organic sessions. Moreover, because each planned article will tie into a product, we set the stage for converting some of that new traffic into customers. In short, this content calendar will help us systematically grow topical authority and organic traffic in areas where the brand currently has room to grow.","false",""
"f47b7c9a-efcf-4ab9-b9b3-cff492bd8c19","Week 10","On-Page SEO Tag Audit & Update","Shortened 19 excessively long title tags (under 70 characters)
Revised titles to include primary keywords and compelling CTAs or brand references
Created unique, keyword-rich meta descriptions for 37 pages with previously duplicate or missing data
Fixed missing or duplicated H1 tags, aligning them clearly with each page's main keyword and title","By refining meta titles, descriptions, and H1 tags, pages will appear more accurately and attractively in search engine results. Shorter and clearer titles will prevent truncation, making our pages more appealing to potential visitors. Unique meta descriptions will provide users and search engines with precise and differentiated summaries of each page, increasing click-through rates. Correcting H1 tags ensures better keyword targeting and clearer page structure, potentially boosting our rankings for key search queries and supporting improved overall SEO performance.","false",""
